tag,name,x,y,capacity,zoom,floor
Applepot,Applepot,3590,3118,2,,First Floor
Spindle,Spindle (old Aquaster),1850,3278,3,,First Floor
Mystember,Mystember (old Ashlet),436,1882,4,482-717-1833,First Floor
Mystile,Mystile (old Athena),1604,3574,6,568-626-7623,First Floor
Auditorium,Auditorium,844,806,400,645-365-8365,First Floor
Aquaster,Aquaster (old Battabash),2312,2608,8,,First Floor
Aquamarina,Aquamarina (old Big Hex),2312,2876,10,630-960-8734,First Floor
FlameCaller,Flame Caller (old Bok),272,1210,8,,First Floor
Battaram,Battaram (old Browl),3100,3924,2,,Second Floor
Pterrocks,Pterrocks (old Calico Cat),462,2876,8,554-083-5398,First Floor
Serrazag,Serrazag (old Cebollini),2284,2204,8,217-242-8020,First Floor
Liosen,Liosen (old Chameleon),898,1210,10,228-222-4705,First Floor
Frostjaw,Frostjaw (old Charfoal),2910,3816,6,396-554-7629,Second Floor
Arcticlaw,Arcticlaw (old Cloud Neek),3128,3844,2,,Second Floor
Gloricious,Gloricious (old Cogmite),980,3414,4,215-717-5731,First Floor
Lounge,Lounge (old Diveodile),1944,1022,8,,First Floor
Muckster,Muckster (old Don Zorro),2692,3520,6,302-419-9568,First Floor
Dreamlet,Dreamlet,3590,3198,2,,First Floor
Luminex,Luminex (old Eclipse),980,3602,16,509-394-1905,First Floor
Ashlet,Ashlet (old Eve),776,1210,6,819-145-2129,First Floor
Battabash,Battabash (old Fathom),2774,3790,6,885-419-2545,Second Floor
Keeper,Keeper (old Fishbowl),3482,3844,20,347-432-4348,Second Floor
IceNeek,Ice Neek (old Flikflit),2910,3924,2,,Second Floor
Pyromane,Pyromane (old Flora ),598,1882,10,829-344-2739,First Floor
Hob,Hob (old Florafox),1170,3574,14,792-851-7263,First Floor
Flurrious,Flurrious (old Flurious),2584,3898,4,,Second Floor
ClipClop,ClipClop (old Frostfang),2692,3226,8,615-667-5168,First Floor
Tyscout,Tyscout (old Gale),408,1210,4,,First Floor
Vinequeen,Vinequeen (old Gearsite),2692,3386,4,917-349-7694,First Floor
Hotpot,Hotpot,300,1882,4,653-878-8257,First Floor
Nebluff,Nebluff (old Howard Cornelius),1170,3414,8,689-554-6741,First Floor
Mimic,Mimic (old Husky),2312,1774,16,748-731-0990,First Floor
Forest Creator,Forest Creator (old Ignios),1632,3386,6,432-281-2073,First Floor
Squally,Squally (old Kandi Korn),3128,3736,2,,Second Floor
Acromi,Acromi (old Luma),952,3844,20,433-844-4855,First Floor
Stampeed,Stampeed (old Lumiot),2312,2338,6,319-867-2687,First Floor
Zipzap,Zipzap (old Magmischief),1170,3708,10,920-846-3562,First Floor
Pompalm,Pompalm (old Mermina),1632,3816,12,721-665-1240,First Floor
Frostfang,Frostfang (old Mimic),2584,3736,6,299-671-5338,Second Floor
Mystyyk,Mystyyk,980,3306,6,417-912-1966,First Floor
Terrosaur,Terrosaur (old Noot),598,1210,10,979-748-3717,First Floor
Pomprikle,Pomprikle (old Palm Prickle),3120,3150,6,857-483-7420,First Floor
ProdigyAcademy1,Prodigy Academy 1,2856,2338,47,322-506-4960,First Floor
ProdigyAcademy2,Prodigy Academy 2,2828,2688,52,995-477-2298,First Floor
Sprike,Sprike (old Snowfluff),3426,3118,2,,First Floor
Saplette,Saplette (old Sproot),3426,3198,2,,First Floor
Fishbol,Fishbol (old Squawks),2312,2472,8,471-031-4405,First Floor
Truckle,Truckle (old Stampeede),3290,3144,6,375-409-4384,First Floor
Flameger,Flameger (old Taragon),788,1882,4,559-676-3142,First Floor
Sentinel,Sentinel  (old Terrosaur),2122,3278,3,,First Floor
Fathom,Fathom (old TripTrop),2312,2742,8,602-080-3198,First Floor
Rascal,Rascal (old Truckle),2774,3924,2,,Second Floor
TripTrop,TripTrop (old Tyscout),1986,3278,3,,First Floor
